strain	date	country	state	division	location	host	host_categories	clade_membership	strains	lineages	accessions	organization	DataSource	authors	journal	title	url	latitude	longitude	parent_id	parsimony	usher_annotation	autolin_proposal	lineage_name	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Level_7	Level_8
W1796	2014-08-11	USA	CO	CO/Larimer	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1796_2014-08-11_USA_CO_Larimer_40.416_-105.045	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	40.6955572	-105.5943388	node_2387	15	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.2	I.a.4-NY99.WN02.3.2.1	I.a.4-NY99.WN02.3.2.1	I.a.4-NY99.WN02.3.2.1	I.a.4-NY99.WN02.3.2.1
LR743455	2019-09-17	DEU	Unknown	DEU	Global	Culex pipiens	Mosquitoes-Culex	?	?	II	LR743455.1	Friedrich-Loeffler-Institute Federal Research Institute for Animal Health Institute of Diagnostic Virology Suedufer 10 Greifswald - Insel Riems Mecklenburg - Western Pomerania 17493	NCBI_Global	et al	"Submitted (13-DEC-2019) Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493, Germany"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/LR743455	51.165691	10.451526	node_201	3	II	New	II.1.1.1.3	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1.1	II.1.1.1.3	II.1.1.1.3
HM488245	2008-XX-XX	USA	NY	NY/NY	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	HM488245|2008|USA|	Broad Institute of MIT and Harvard	NS_NA_NCBI	Henn et al	"Submitted (04-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488245	40.7127	-74.0059	node_1318	11	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.5.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.5	I.a.4-NY99.WN02.5.1	I.a.4-NY99.WN02.5.1	I.a.4-NY99.WN02.5.1	I.a.4-NY99.WN02.5.1	I.a.4-NY99.WN02.5.1
GU828001	2003-XX-XX	USA	TX	TX/Harris	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	GU828001	University of Texas Medical Branch Department of Pathology	NS_NA_NCBI	May et al	"Virology 405 (1), 8-14 (2010)"	Multiple pathways to the attenuation of West Nile virus in South-East Texas in 2003	https://www.ncbi.nlm.nih.gov/pubmed/20580395	31.8160381	-99.5120985	node_3347	1	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KC601756	2011-02-XX	IND	Kerala	Kerala/Kerala	Global	Homo sapiens	Mammals-Human	Ia	?	I.a.3	KC601756.1	National Institute of Virology Kerala Unit	NCBI_Global	Balakrishnan et al	"Genome Announc 1 (3), E00230-13 (2013)"	"Complete genome sequence of west nile virus isolated from alappuzha district, kerala, India"	https://www.ncbi.nlm.nih.gov/pubmed/23682140	20.593684	78.96288	node_20	35	I.a		I.a.4-NY99	I.a	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
HM488136	2001-XX-XX	USA	CT	CT/Fairfield	USA	Culex restuans	Mosquitoes-Culex	Ia	NY99	I.a.4-NY99	HM488136	Broad Institute of MIT and Harvard	NS_NA_NCBI	Armstrong et al	"Virology 417 (1), 203-210 (2011)"	"Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008"	https://www.ncbi.nlm.nih.gov/pubmed/21723580	41.1408363	-73.2612615	node_906	0	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
W428	2011-07-07	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	W428	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_2654	4	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.SW03.1.3	I.a.4-NY99.SW03.1.3.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
OQ721629	2009-02-05	USA	CA	CA/CA	USA	Corvus brachyrhynchos	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721629.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721629	36.778259	-119.417931	node_3516	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3
OQ721270	2017-09-25	USA	IA	IA/IA	USA	Culex restuans	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721270.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721270	42.032974	-93.581543	node_1426	17	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.17.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.17	I.a.4-NY99.WN02.17.1	I.a.4-NY99.WN02.17.1	I.a.4-NY99.WN02.17.1	I.a.4-NY99.WN02.17.1	I.a.4-NY99.WN02.17.1
OQ721373	2017-09-04	USA	IA	IA/IA	USA	Culex pipiens	Mosquitoes-Culex	?	?	I.a.4-NY99	OQ721373.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721373	42.032974	-93.581543	node_2030	16	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.6	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.6	I.a.4-NY99.WN02.1.4.6	I.a.4-NY99.WN02.1.4.6	I.a.4-NY99.WN02.1.4.6
KX547436	2008-09-08	USA	NY	NY/Erie	USA	Culex	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KX547436	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547436	42.7582309	-78.77963378	node_3161	7	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.1.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1.3	I.a.4-NY99.WN02.4.1.3	I.a.4-NY99.WN02.4.1.3	I.a.4-NY99.WN02.4.1.3
KJ501144	2011-XX-XX	USA	CA	CA/CA	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KJ501144|2011|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501144	36.778259	-119.417931	node_3439	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2
OQ721135	2009-09-27	USA	CA	CA/CA	USA	Aphelocoma californica	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721135.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721135	36.778259	-119.417931	node_2823	0	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.SW03.1.2	I.a.4-NY99.SW03.1.2.2	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W1459	2004-07-03	USA	MN	MN/Hennepin	USA	Unknown	Birds-Other	Ia	WN02	I.a.4-NY99.WN02	W1459_2004-07-03_USA_MN_Hennepin_nan_nan	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	45.0208911	-93.5094574	node_3170	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1
KR107956	2014-XX-XX	BEL	Unknown	BEL	Global	Unknown	Unknown	?	?	I.a.4-NY99.Is98	KR107956.1	Veterinary and Agrochemical Research Center Operational Directorate Viral Diseases	NCBI_Global	Dridi et al	Unpublished	Next Generation Sequencing shows different quasispecies dynamics of West Nile virus in SPF chicken and carrion crow (Corvus corone) in vivo infection models	https://www.ncbi.nlm.nih.gov/nuccore/KR107956	50.503887	4.469936	node_14	2	I.a.4-NY99.Is98		I.a.4-NY99.Is98	I.a.4-NY99	I.a.4-NY99.Is98	I.a.4-NY99.Is98	I.a.4-NY99.Is98	I.a.4-NY99.Is98	I.a.4-NY99.Is98	I.a.4-NY99.Is98	I.a.4-NY99.Is98
W372	2006-07-11	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W372	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_3675	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.5	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.5	I.a.4-NY99.WN02.2.5	I.a.4-NY99.WN02.2.5	I.a.4-NY99.WN02.2.5	I.a.4-NY99.WN02.2.5
W0899	2018-07-24	USA	OH	OH/Montgomery	USA	Unknown	Mosquitoes-Unknown	Ia	WN02	I.a.4-NY99.WN02	W0899_2018-07-24_USA_OH_Montgomery_39.481_-84.120	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	39.2281143	-84.3541062	node_1776	19	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.3.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.3	I.a.4-NY99.WN02.1.3.1	I.a.4-NY99.WN02.1.3.1.1	I.a.4-NY99.WN02.1.3.1.1	I.a.4-NY99.WN02.1.3.1.1
W1809	2015-08-17	USA	CO	CO/Larimer	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1809_2015-08-17_USA_CO_Larimer_40.603_-105.066	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	40.6955572	-105.5943388	node_2079	7	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.2	I.a.4-NY99.WN02.1.4.2	I.a.4-NY99.WN02.1.4.2	I.a.4-NY99.WN02.1.4.2
MH170260	2009-XX-XX	USA	GA	GA/GA	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	MH170260.1	University of Texas Medical Branch Microbiology and Immunology	NS_NA_NCBI	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	"Terrestrial Bird Migration and West Nile Virus Circulation, United States"	https://www.ncbi.nlm.nih.gov/nuccore/MH170260	33.247875	-83.441162	node_1373	3	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.24	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.24	I.a.4-NY99.WN02.24	I.a.4-NY99.WN02.24	I.a.4-NY99.WN02.24	I.a.4-NY99.WN02.24	I.a.4-NY99.WN02.24
WNV0000218	2023-08-17	USA	NYC	NYC/Rossville	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	WNV0000218-NYC-VH00422-231206	NYC_PHL	NYC_PHL	NYC-PHL	Unpublished	NYC PHL West Nile Virus Sequencing Project	https://www.nyc.gov/site/doh/index.page	40.54512091	-74.18168429	node_1193	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.14.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.14	I.a.4-NY99.WN02.14.1	I.a.4-NY99.WN02.14.1.1	I.a.4-NY99.WN02.14.1.1	I.a.4-NY99.WN02.14.1.1	I.a.4-NY99.WN02.14.1.1
ON782109	2019-07-22	BRA	Bahia	Bahia/Ipira	Global	Equus caballus	Mammals-Horse	?	?	I.a.4-NY99	ON782109.1	Fundacao Oswaldo Cruz Laboratorio de Flavivirus	NCBI_Global	Fritsch et al	"Viruses 14 (7), 1540 (2022)"	Retrospective Investigation in Horses with Encephalitis Reveals Unnoticed Circulation of West Nile Virus in Brazil	https://www.ncbi.nlm.nih.gov/pubmed/35891521	-51.9253	-51.9253	node_945	65	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
KJ501298	2002-XX-XX	USA	NC	NC/NC	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KJ501298|2002|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501298	35.58	-80.1	node_4382	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.10.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.10	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1
OL840886	2020-08-XX	GRC	Unknown	GRC	Global	Culex pipiens	Mosquitoes-Culex	?	?	II	OL840886.1	Aristotle University of Thessaloniki A' Dept. of Microbiology	NCBI_Global	Papa et al	"Submitted (11-DEC-2021) A' Dept. of Microbiology, Aristotle University of Thessaloniki, Medical School, Thessaloniki 54124, Greece"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/OL840886	39.074208	21.824312	node_499	0	II	New	II.1.2.1	I.a	I.a.4-NY99	II	II.1	II.1.2	II.1.2.1	II.1.2.1	II.1.2.1
W1383	2002-08-08	USA	MN	MN/Redwood	USA	Unknown	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	W1383_2002-08-08_USA_MN_Redwood_x_x	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	44.3516109	-95.3102505	node_4256	15	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KX547539	2007-08-22	USA	NY	NY/Tompkins	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	SW03	I.a.4-NY99.WN02.SW03	KX547539	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547539	42.4576	-76.5488	node_2990	0	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
W1794	2014-08-04	USA	CO	CO/Larimer	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1794_2014-08-04_USA_CO_Larimer_40.506_-105.039	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	40.6955572	-105.5943388	node_1897	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2
KJ501219	2012-XX-XX	USA	CO	CO/Larimer	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KJ501219|2012|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501219	40.6955572	-105.5943388	node_1455	9	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.20.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.20	I.a.4-NY99.WN02.20.1	I.a.4-NY99.WN02.20.1	I.a.4-NY99.WN02.20.1	I.a.4-NY99.WN02.20.1	I.a.4-NY99.WN02.20.1
KX547485	2014-06-13	USA	NY	NY/Rockland	USA	Culex	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KX547485	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547485	41.1489	-73.983	node_2139	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.3.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.3	I.a.4-NY99.WN02.1.4.3.1	I.a.4-NY99.WN02.1.4.3.1	I.a.4-NY99.WN02.1.4.3.1
GQ507477	2005-08-01	USA	CA	CA/Los-Angeles	USA	Homo sapiens	Mammals-Human	Ia	WN02	I.a.4-NY99.WN02	GQ507477	Blood Systems Research Institute and University of California San Francisco	NS_NA_NCBI	Pybus et al	"Proc. Natl. Acad. Sci. U.S.A. 109 (37), 15066-15071 (2012)"	Unifying the spatial epidemiology and molecular evolution of emerging epidemics	https://www.ncbi.nlm.nih.gov/pubmed/22927414	34.0549076	-118.242643	node_3562	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.13	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.13	I.a.4-NY99.WN02.2.13	I.a.4-NY99.WN02.2.13	I.a.4-NY99.WN02.2.13	I.a.4-NY99.WN02.2.13
OL840872	2018-08-XX	GRC	Unknown	GRC	Global	Homo sapiens	Mammals-Human	?	?	II	OL840872.1	Aristotle University of Thessaloniki A' Dept. of Microbiology	NCBI_Global	Papa et al	"Submitted (11-DEC-2021) A' Dept. of Microbiology, Aristotle University of Thessaloniki, Medical School, Thessaloniki 54124, Greece"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/OL840872	39.074208	21.824312	node_434	2	II	New	II.1.2.2	I.a	I.a.4-NY99	II	II.1	II.1.2	II.1.2.2	II.1.2.2	II.1.2.2
OQ721420	2014-09-26	USA	CA	CA/CA	USA	Corvus brachyrhynchos	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721420.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721420	36.778259	-119.417931	node_3837	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1
KX375812	2013-XX-XX	SRB	Unknown	SRB	Global	Homo sapiens	Mammals-Human	?	?	II	KX375812.1	National Institute for Communicable Diseases of the National Health Laboratory Service Center for Emerging and Zoonotic Diseases	NCBI_Global	Jovanovic Galovic et al	Unpublished	"West Nile lineage 2 associated with human case in Vojvodina Province, Republic of Serbia"	https://www.ncbi.nlm.nih.gov/nuccore/KX375812	44.016521	21.005859	node_515	10	II	New	II.1.3.2	I.a	I.a.4-NY99	II	II.1	II.1.3	II.1.3.2	II.1.3.2	II.1.3.2
OK573264	?	USA	MD	MD/MD	USA	Homo sapiens	Mammals-Human	?	?	I.a.4-NY99	OK573264.1	US Food and Drug Administration Center for Devices and Radiological Health	NCBI_Global	Rios et al	Unpublished	FDA dAtabase for Regulatory Grade micrObial Sequences (FDA-ARGOS): Supporting development and validation of Infectious Disease Dx tests	https://www.ncbi.nlm.nih.gov/nuccore/OK573264	39.5162234	-76.9382068	node_2667	2	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.SW03.1.3	I.a.4-NY99.SW03.1.3.1	I.a.4-NY99.SW03.1.3.1.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02
ON032493	2021-08-29	ITA	Emilia Romagna	Emilia Romagna/Emilia Romagna	Global	Accipiter gentilis	Birds-Hawks and Eagles	?	?	II	ON032493.1	Istituto Zooprofilattico Sperimentale Abruzzo e Molise Virology Unit	NCBI_Global	Mencattelli et al	"Submitted (17-MAR-2022) Virology Unit, Istituto Zooprofilattico Sperimentale Abruzzo e Molise, Campo Boario, Teramo, IT 64100, Italy"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/ON032493	41.87194	12.56738	node_329	6	II	New	II.1.1.2.2.1	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1.2	II.1.1.2.2	II.1.1.2.2.1
HM488122	2006-XX-XX	USA	CT	CT/CT	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	HM488122|2006|USA|	Broad Institute of MIT and Harvard	NS_NA_NCBI	Armstrong et al	"Virology 417 (1), 203-210 (2011)"	"Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008"	https://www.ncbi.nlm.nih.gov/pubmed/21723580	41.599998	-72.699997	node_3306	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1
KX547223	2005-09-16	USA	NYC	NYC/Queens	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KX547223	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547223	40.742054	-73.769417	node_1222	20	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.7	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7	I.a.4-NY99.WN02.7
MF984349	2016-XX-XX	AUT	Unknown	AUT	Global	Equus caballus	Mammals-Horse	?	?	II	MF984349.1	University of Veterinary Medicine Vienna Pathobiology Institute of Virology	NCBI_Global	Kolodziejek et al	"Emerg Microbes Infect 7 (1), 25 (2018)"	"Integrated analysis of human-animal-vector surveillance: West Nile virus infections in Austria, 2015-2016"	https://www.ncbi.nlm.nih.gov/pubmed/29535293	47.516231	14.550072	node_165	3	II	New	II.1.4.1	I.a	I.a.4-NY99	II	II.1	II.1.4	II.1.4.1	II.1.4.1	II.1.4.1
KX547213	2002-09-13	USA	NY	NY/Ulster	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KX547213	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547213	41.8586	-74.3118	node_3315	4	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.1.6	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.1	I.a.4-NY99.WN02.4.1.6	I.a.4-NY99.WN02.4.1.6	I.a.4-NY99.WN02.4.1.6	I.a.4-NY99.WN02.4.1.6
W0986	2018-09-18	USA	NH	NH/Rockingham	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W0986_2018-09-18_USA_NH_Rockingham_nan_nan	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	42.9931261	-71.0497768	node_2351	29	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1
KR348961	2011-02-09	USA	CA	CA/Los-Angeles	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KR348961	Centers for Disease Control and Prevention Division of Vector-Borne Infectious Diseases	NS_NA_NCBI	Duggal et al	"Virology 485, 79-85 (2015)"	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076	34.0549076	-118.242643	node_3599	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.6.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.6	I.a.4-NY99.WN02.2.6.1	I.a.4-NY99.WN02.2.6.1	I.a.4-NY99.WN02.2.6.1	I.a.4-NY99.WN02.2.6.1
